time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,payload_length,header_length,length_total,timestamps,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min
2020-04-25 01:10:59.926493+00:00,20000034,QDQAACCAvZUKUgttfuKGKTBa9Eah9tGAtJ4=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-100,-3.8,-1,10,38333,10.0,36,9,45,1587777059.926493,0.5502958297729492,81.77419774118022,90.0,180.0,2.0,4.0
2020-04-25 01:11:34.542439+00:00,2000000b,QAsAACCA95MKJYNvrL4orWCpXr9JmO0qEDg=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-103,-8.0,-1,10,37879,10.0,36,9,45,1587777094.542439,34.61594605445862,1.2999789151856471,45.0,135.0,1.0,3.0
2020-04-25 01:11:48.616724+00:00,20000000,QAAAACCA+JMKNU03ZVlIPEPMmKLYlFFup6SMnVw=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-106,1.2,-1,10,37880,10.0,40,9,49,1587777108.616724,14.07428503036499,3.197320496416933,49.0,184.0,1.0,4.0
2020-04-25 01:12:05.425174+00:00,20000007,QAcAACCAy68KSggXanfAH5Cb+75LJWrfke0=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-101,-4.0,-1,10,45003,10.0,36,9,45,1587777125.425174,16.8084499835968,2.915200393124804,45.0,139.0,1.0,3.0
2020-04-25 01:12:07.107428+00:00,14000006,QAYAABSAIbEK++u7nOPkSlI3z1u5dIowKkg=,0000024b0b031c97,1,868100000,12.0,125.0,4/5,-109,-13.2,-1,10,45345,10.0,36,9,45,1587777127.107428,1.6822540760040283,26.74982372870306,45.0,184.0,1.0,4.0
2020-04-25 01:12:43.280928+00:00,14000005,QAUAABSAIbEK/iLxaT5wywyEAzXDC8Yw0mk=,0000024b0b031c97,1,868100000,12.0,125.0,4/5,-108,-10.0,-1,10,45345,10.0,36,9,45,1587777163.280928,36.17349982261658,1.244004595094912,45.0,184.0,1.0,4.0
2020-04-25 01:12:44.585368+00:00,26012b30,QDArASbAXRcK788AU9kT8h6RDusFQqBkkw==,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-108,-9.0,-1,10,5981,10.0,36,9,45,1587777164.5853682,1.3044402599334717,34.4975552980058,45.0,229.0,1.0,5.0
2020-04-25 01:12:52.283349+00:00,20000006,QAYAACCA85MKwoB/CNSICXL7Mbvj31x948s=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-108,-3.5,-1,10,37875,10.0,36,9,45,1587777172.283349,7.697980880737305,5.8456887198309,45.0,225.0,1.0,5.0
2020-04-25 01:13:33.748328+00:00,26012e76,QHYuASaAVNcKlhqkGrtg1U/XSqDZICTtXg==,0000024b0b031c97,1,868300000,12.0,125.0,4/5,-91,-11.5,-1,10,55124,10.0,36,9,45,1587777213.748328,41.46497893333435,1.08525317406646,45.0,180.0,1.0,4.0
2020-04-25 01:13:35.801982+00:00,20000002,QAIAACCAyJQKBawstWScjaLw+VuENA3t68PRUM4=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-103,-5.2,-1,10,38088,10.0,40,9,49,1587777215.801982,2.0536539554595947,21.91216289403016,49.0,229.0,1.0,5.0
